Åyèáà ÉfÅ[É^Åz
ClassRank,Rank,Class,CarNo,Driver,CarName,Laps,LastLapTime,Time,TimeFired,PitCount,BestLapDriver,BestLapTime,BestLapLap,BestLapClassRank,BestLapRank,ClassGap,ClassInt,Gap,Int,Speed,BestLap(A),BestLap(B)
14,26,300,2,Yuui Tsutsumi,muta Racing INGING,48,02'07.359,1:56'06.038,16:43'41.038,1,B,02'01.936,20,18,33,1 LAP,0.478,4 LAP,0.478,122.85,02'02.708,02'01.936
15,27,300,10,Ryuichiro Tomita,GAINER,48,02'03.581,1:56'26.352,16:44'01.352,2,B,02'01.472,4,10,25,1 LAP,20.314,4 LAP,20.314,155.46,02'02.256,02'01.472
16,28,300,87,Kosuke Matsuura,JLOC,48,02'01.541,1:57'35.474,16:45'10.474,3,B,02'00.677,28,1,15,1 LAP,1:09.122,4 LAP,1:09.122,182.99,02'01.456,02'00.677
17,29,300,9,Kei Cozzolino,PACIFIC CARGUY Racing,48,02'02.776,1:57'44.649,16:45'19.649,3,B,02'00.908,41,2,16,1 LAP,9.175,4 LAP,9.175,118.22,02'04.618,02'00.908
18,30,300,6,Roberto Merhi Muntan,Team LeMans,48,02'04.708,1:57'53.242,16:45'28.242,2,B,02'01.568,44,12,27,1 LAP,8.593,4 LAP,8.593,122.85,02'02.380,02'01.568
19,31,300,360,Takayuki Aoki,TOMEI SPORTS  ,47,02'05.303,1:56'02.599,16:43'37.599,3,A,02'02.279,33,24,39,2 LAP,1 LAP,5 LAP,1 LAP,113.34,02'02.279,02'02.499
20,32,300,50,Ryosei Yamashita,Arnage Racing,47,02'06.181,1:56'21.453,16:43'56.453,2,B,02'01.932,17,17,32,2 LAP,18.854,5 LAP,18.854,149.64,02'04.463,02'01.932
21,33,300,48,Yuya Hiraki,NILZZ Racing,47,02'07.148,1:57'17.785,16:44'52.785,4,B,02'03.291,22,25,40,2 LAP,56.332,5 LAP,56.332,119.83,02'05.405,02'03.291
22,35,300,244,Atsushi Miyake,Max Racing,35,02'04.333,1:22'40.266,16:10'15.266,2,B,02'01.416,19,9,24,14 LAP,12 LAP,17 LAP,2 LAP,240.65,02'02.169,02'01.416
23,36,300,31,Yuhki Nakayama,apr,34,02'05.400,1:21'56.761,16:09'31.761,1,A,02'03.443,4,26,41,15 LAP,1 LAP,18 LAP,1 LAP,239.34,02'03.443,02'05.304
24,37,300,11,Keishi Ishikawa,GAINER,33,02'03.653,1:18'38.731,16:06'13.731,1,B,02'01.324,29,7,22,16 LAP,1 LAP,19 LAP,1 LAP,244.67,02'02.379,02'01.324
25,38,300,25,Takamitsu Matsui,HOPPY team TSUCHIYA,22,03'10.574,56'22.011,15:43'57.011,2,A,02'01.950,20,19,34,27 LAP,11 LAP,30 LAP,11 LAP,167.63,02'01.950,
26,40,300,18,Kakunoshin Ohta,TEAM UPGARAGE,8,02'04.610,19'26.728,15:07'01.728,0,B,02'01.782,4,15,30,41 LAP,14 LAP,44 LAP,2 LAP,248.13,,02'01.782
,,300,20,Eijiro Shimizu,SHADE RACING,,,,,,,,,,,,,,,,,
